欧姆定律的应用——动态电路分析
欧姆定律的应用——电表示数的变化
欧姆定律的应用——测电阻（伏阻法）
欧姆定律的应用——测电阻（安阻法）
电功、电功率、焦耳定律易错概念辨析
额定功率、实际功率及其应用
电功率实验专题
电功率图表问题
电功、电功率、焦耳定律在实际生活中的应用
电功、电功率、焦耳定律在串、并联电路中的应用
电磁概念辨析
几何体侧面展开图问题
三视图问题
三点共线与三线共点问题
反比例函数与一次函数的关系（二）
反比例函数—知识梳理
反比例函数—经典例题
相似三角形判定的综合应用（一）
相似三角形判定的综合应用（二）
相似三角形判定的综合应用（三）
相似典型图——双垂直
相似典型图——一线三等角
旋转中的相似（一）
圆与切线（二）
有理数运算的技巧
有理数规律探究（一）
有理数规律探究（二）
绝对值的几何意义
绝对值和距离
有理数——知识梳理
有理数——经典例题
整式的化简与求值--条件求值型
整式的化简与求值—整体代入型
整式的规律探究
整式的加减——知识梳理
整式的加减——经典例题
解含字母系数的一元一次方程
列方程解应用题——技巧与易错问题
一元一次方程——知识梳理
一元一次方程——经典例题
线段的分类讨论问题
角的分类讨论问题
与钟表有关的夹角问题（一）
与钟表有关的夹角问题（二）
几何图形——知识梳理
中位数和众数（新授）
极差与方差（新授）
二次函数图象的翻折
二次函数图象的平移
函数图象的共点问题
二次函数与特殊三角形
二次函数与平行四边形
分式—经典例题
科学探究的一般方法知识讲解
实验室制备气体的思路探讨
第六单元 二氧化碳和水的反应探究
分子、原子和离子之间的关系
氨分子扩散实验的探究
水的组成探究
质量守恒定律的应用
质量守恒定律的应用习题
化学式与化合价的综合运用
化学式与化合价的综合运用习题
（新版）化学式与化合价
有关化学式计算的拓展
有关化学式计算的拓展习题
新情境化学方程式的书写
根据化学方程式计算技巧点拨
第八单元 铁生锈条件的探究
第八单元 金属和酸反应探究
第九单元 配制一定质量分数溶液实验探究
第九单元 固体溶解度曲线
第十单元 有关碳酸钠和碳酸氢钠的探究
反比例函数—经典例题
相似三角形判定的综合应用（一）
相似三角形判定的综合应用（二）
相似三角形判定的综合应用（三）
相似典型图——双垂直
相似典型图——一线三等角
旋转中的相似（一）
旋转中的相似（二）
相似——知识梳理
相似——经典例题
互余锐角、同角三角函数的关系
解直角三角形（三）
解直角三角形的应用（一）
解直角三角形的应用（二）
解直角三角形的应用（三）
锐角三角函数——知识梳理
锐角三角函数——经典例题
投影
投影的应用
三视图
绝对值的几何意义
绝对值和距离
有理数运算的技巧
高考复习：物质的组成、分类、性质及变化
高考复习：化学用语
高考复习：离子反应与离子共存问题
高考复习：离子方程式的书写及正误判断
高考复习：离子方程式的定量问题
圆——知识梳理
圆——经典例题
相似三角形判定的综合应用（一）
相似三角形判定的综合应用（二）
相似三角形判定的综合应用（三）
相似典型图——双垂直
相似典型图——一线三等角
旋转中的相似（一）
旋转中的相似（二）
相似——知识梳理
相似——经典例题
互余锐角、同角三角函数的关系
解直角三角形（三）
解直角三角形的应用（一）
解直角三角形的应用（二）
解直角三角形的应用（三）
锐角三角函数——知识梳理
锐角三角函数——经典例题
圆与切线（一）
圆与切线（二）
圆与切线（三）（单元复习
投影
投影的应用
有理数运算的技巧
有理数规律探究（一）
有理数规律探究（二）
绝对值的几何意义
绝对值和距离
有理数——知识梳理
有理数——经典例题
线段的分类讨论问题
角的分类讨论问题
与钟表有关的夹角问题（一）
与钟表有关的夹角问题（二）
几何图形——知识梳理
几何图形初步——经典例题
整式的化简与求值--条件求值型
整式的化简与求值—整体代入型
整式的规律探究
整式的加减——知识梳理
整式的加减——经典例题
解含字母系数的一元一次方程
列方程解应用题——技巧与易错问题
一元一次方程——知识梳理
一元一次方程——经典例题
二元一次方程组的解法——精讲
生活中的变阻器
欧姆定律的基本实验与概念
光现象辨析
数列综合1
电表改装
有理数运算的技巧
有理数规律探究（一）
有理数规律探究（二）
绝对值的几何意义
绝对值和距离
有理数——知识梳理
有理数——经典例题
整式的化简与求值--条件求值型
整式的化简与求值—整体代入型
整式的规律探究
整式的加减——知识梳理
整式的加减——经典例题
投影
投影的应用
三视图
线段的分类讨论问题
角的分类讨论问题
二次根式综合练习
与机械能相关的实验专题 
杠杆的概念及其支点的寻找 
数列综合2
垂直问题
函数的综合问题
碰撞
乘法公式综合应用一
乘法公式综合应用二 
有理数运算的技巧
有理数规律探究（一）
有理数规律探究（二）
绝对值的几何意义
绝对值和距离
有理数——知识梳理
有理数——经典例题
整式的化简与求值--条件求值型
整式的化简与求值—整体代入型
整式的规律探究
整式的加减——知识梳理
整式的加减——经典例题
线段的分类讨论问题
角的分类讨论问题
与钟表有关的夹角问题（一）
与钟表有关的夹角问题（二）
几何图形——知识梳理
几何图形初步——经典例题
解含字母系数的一元一次方程
列方程解应用题——技巧与易错问题
一元一次方程——知识梳理
一元一次方程——经典例题
公式法的应用一 
公式法的应用二
整式乘除—知识梳理
整式乘除—经典例题
两条平行线间的距离及应用
巧用平移求长度和面积
相交线与平行线——知识梳理
相交线与平行线——经典例题（复习）
三角形的分类讨论
三角形内外角的综合应用 
三角形三边关系的综合应用
平面镶嵌问题一 
平面镶嵌问题二
 添加辅助线构造全等三角形（一）
 添加辅助线构造全等三角形（二） 
添加辅助线构造全等三角形（三）
全等三角形—知识梳理
全等三角形—经典例题
三角形—知识梳理
三角形—经典例题
利用轴对称求线段和的最小值
利用轴对称求线段差的最大值(单元复习)
轴对称的综合应用 
轴对称—知识梳理
轴对称—经典例题
随机事件与必然事件（新授）
概率及其性质
勾股定理综合应用
勾股定理及其逆定理的综合应用(单元复习)
 两点间的距离公式
勾股定理—知识梳理
勾股定理—经典例题
算术平方根与平方根的性质（一）——非负性
算术平方根与平方根的性质（二）
实数的综合运算
二次根式非负性的应用
二次根式的化简求值
二次根式的综合应用(单元复习)
二次根式综合练习
二次根式——知识梳理
二次根式——经典例题
实数----知识梳理
实数----经典例题
平面直角坐标系中图形面积的计算
点的坐标特征与“距离”的坐标表示
点的坐标变化的规律探究
平面直角坐标系—知识梳理
平面直角坐标系—经典例题
分段函数
一次函数与面积
一次函数与对称
一次函数—知识梳理
一次函数—经典例题
二元一次方程组的解法——精讲
二元一次方程组的解法——精讲
消元思想的运用
再谈解方程组技巧
二元一次方程组—经典例题
二元一次方程组—知识梳理
旋转的综合练习
平均数（新授）
中位数和众数（新授）
极差与方差（新授）
平行线的判定与性质的综合应用
一元一次不等式组的整数解问题(单元复习)
方程与不等式——综合问题(单元复习)
解含字母的一元一次不等式组(单元复习)
不等式与不等式组——知识梳理
不等式与不等式组——经典例题
旋转中的最大值问题（一）
旋转中的最大值问题（二）
旋转中的最小值问题(单元复习）
旋转的综合练习
旋转——知识梳理
旋转——经典例题
因式分解—知识梳理
因式分解—经典例题
分式的化简求值技巧（一）
分式的化简求值技巧（二）
分式—知识梳理
分式—经典例题
三角形中位线的运用
正方形的综合运用（一）(单元复习)
正方形的综合运用（二）(单元复习)
中点四边形形状的判定
矩形的折叠
特殊的平行四边形综合应用（专题复习）
平行四边形——知识梳理
平行四边形——经典例题
配方法在代数中的应用
一元二次方程解法的综合训练
一元二次方程的解法
与一元二次方程有关的问题
一元二次方程——知识梳理
一元二次方程——经典例题
相似三角形判定的综合应用（一）
相似三角形判定的综合应用（二）
相似三角形判定的综合应用（三）
相似典型图——双垂直
相似典型图——一线三等角
旋转中的相似（一）
旋转中的相似（二）
相似——知识梳理
相似——经典例题
投影
投影的应用
三视图
反比例函数中比例系数k的几何意义
反比例函数比例系数k的几何意义在解题中的应用
利用反比例函数解决数学问题
反比例函数与一次函数的关系（一）
声波测距离
反比例函数与一次函数的关系（二）
反比例函数—知识梳理
反比例函数—经典例题
用列举法求概率
用频率估计概率
互余锐角、同角三角函数的关系
解直角三角形（三）
解直角三角形的应用（一）
解直角三角形的应用（二）
解直角三角形的应用（三）
锐角三角函数——知识梳理
锐角三角函数——经典例题
二次函数图象的翻折
二次函数图象的平移
函数图象的共点问题
二次函数与特殊三角形
二次函数与平行四边形
"二次函数的图象与a,b,c的关系(单元复习)"
二次函数的图象与性质综合应用（专题复习）
二次函数在几何动点问题中的应用
利用二次函数求最优方案
二次函数——知识梳理
二次函数——经典例题
立体图形中的最值问题
与圆锥有关的计算
圆与切线（一）
圆与切线（二）
圆与切线（三）（单元复习
正多边形与圆
圆——知识梳理
圆——经典例题
分子动理论的理解 
内能及其改变 
温度、内能、热量易错概念辨析 
比热容的应用 
比热容实验专题 
电流和电路-易错概念辨析
简单电路的识别和实物图的转换
简单电路的设计
电压、电阻易错概念辨析
电流、电压、电阻实验专题
带表电路的识别
生活中的变阻器
欧姆定律的基本实验与概念
欧姆定律的应用-电路故障分析
共面问题
平行问题
垂直问题
立体几何综合问题
球的内接和外切问题
球面距离问题
组合体的体积问题
